Test Time (s),F(kg),strain raw
63.042,31.32,8506805.00
63.141,31.69,8506805.00
63.24,31.99,8506805.00
63.341,32.26,8506805.00
63.44,32.52,8506805.00
63.542,32.77,8506805.00
63.641,33.40,8506805.00
63.741,34.70,8506805.00
63.842,37.21,8506805.00
63.94,39.67,8506805.00
64.041,41.39,8506805.00
64.143,42.02,8506805.0
64.357,41.70,8506805.00
64.458,41.54,8506805.00
64.557,41.41,8506805.00
64.66,41.31,8506805.00
64.758,41.21,8506805.00
64.858,41.12,8506805.00
64.961,41.04,8506805.00
65.058,40.96,8506805.00
65.158,40.89,8506805.00
65.26,40.82,8506805.00
65.358,40.76,8506805.00
65.458,40.69,8506805.00
65.559,40.63,8506805.00
65.658,40.52,8506805.00
65.758,40.46,8506805.00
65.859,40.41,8506805.00
65.976,40.36,8506805.00
66.074,40.31,8506805.00
66.175,40.26,8506805.00
66.275,40.21,8506805.00
66.375,40.17,8506805.00
66.477,40.12,8506805.00
66.575,40.08,8506805.00
66.674,40.03,8506805.00
66.776,39.99,8506805.00
66.876,39.95,8506805.00
66.974,39.91,8506805.00
67.076,39.88,8506805.00
67.175,39.84,8506805.00
67.276,39.80,8506805.00
67.376,39.76,8506805.00
67.475,39.73,8506805.00
67.593,39.69,8506805.00
67.676,39.66,8506805.00
67.793,39.59,8506805.00
67.993,39.53,8506805.00
68.092,39.50,8506805.00
68.191,39.47,8506805.00
68.292,39.44,8506805.00
68.393,39.41,8506805.00
68.493,39.38,8506805.00
68.593,39.35,8506805.00
68.693,39.33,8506805.00
68.793,39.30,8506805.00
68.893,39.27,8506805.00
68.993,39.24,8506805.00
69.294,39.17,8506805.00
69.393,39.14,8506805.0
69.61,39.09,8506805.00
69.71,39.07,8506805.00
